;chaincodename;key;value;function;total;size
38;micro;|DEMOASSET|31|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|31|pocket2|100000.0;30
38;micro;|DEMOASSET|31|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|31|pocket3|100000.0;30
39;micro;|DEMOASSET|32|;"{""uuid"":""32"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|32|{""uuid"":""32"",""type"":""DemoAsset""}";46
39;micro;|DEMOASSET|32|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|32|pocket1|100000.0;30
39;micro;|DEMOASSET|32|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|32|pocket2|100000.0;30
39;micro;|DEMOASSET|32|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|32|pocket3|100000.0;30
40;micro;|DEMOASSET|34|;"{""uuid"":""34"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|34|{""uuid"":""34"",""type"":""DemoAsset""}";46
40;micro;|DEMOASSET|34|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|34|pocket1|100000.0;30
40;micro;|DEMOASSET|34|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|34|pocket2|100000.0;30
40;micro;|DEMOASSET|34|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|34|pocket3|100000.0;30
41;micro;|DEMOASSET|33|;"{""uuid"":""33"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|33|{""uuid"":""33"",""type"":""DemoAsset""}";46
41;micro;|DEMOASSET|33|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|33|pocket1|100000.0;30
41;micro;|DEMOASSET|33|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|33|pocket2|100000.0;30
41;micro;|DEMOASSET|33|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|33|pocket3|100000.0;30
42;micro;|DEMOASSET|35|;"{""uuid"":""35"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|35|{""uuid"":""35"",""type"":""DemoAsset""}";46
42;micro;|DEMOASSET|35|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|35|pocket1|100000.0;30
42;micro;|DEMOASSET|35|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|35|pocket2|100000.0;30
42;micro;|DEMOASSET|35|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|35|pocket3|100000.0;30
43;micro;|DEMOASSET|36|;"{""uuid"":""36"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|36|{""uuid"":""36"",""type"":""DemoAsset""}";46
43;micro;|DEMOASSET|36|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|36|pocket1|100000.0;30
43;micro;|DEMOASSET|36|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|36|pocket2|100000.0;30
43;micro;|DEMOASSET|36|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|36|pocket3|100000.0;30
44;micro;|DEMOASSET|37|;"{""uuid"":""37"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|37|{""uuid"":""37"",""type"":""DemoAsset""}";46
44;micro;|DEMOASSET|37|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|37|pocket1|100000.0;30
44;micro;|DEMOASSET|37|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|37|pocket2|100000.0;30
44;micro;|DEMOASSET|37|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|37|pocket3|100000.0;30
45;micro;|DEMOASSET|38|;"{""uuid"":""38"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|38|{""uuid"":""38"",""type"":""DemoAsset""}";46
45;micro;|DEMOASSET|38|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|38|pocket1|100000.0;30
45;micro;|DEMOASSET|38|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|38|pocket2|100000.0;30
45;micro;|DEMOASSET|38|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|38|pocket3|100000.0;30
46;micro;|DEMOASSET|39|;"{""uuid"":""39"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|39|{""uuid"":""39"",""type"":""DemoAsset""}";46
46;micro;|DEMOASSET|39|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|39|pocket1|100000.0;30
46;micro;|DEMOASSET|39|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|39|pocket2|100000.0;30
46;micro;|DEMOASSET|39|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|39|pocket3|100000.0;30
47;micro;|DEMOASSET|40|;"{""uuid"":""40"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|40|{""uuid"":""40"",""type"":""DemoAsset""}";46
47;micro;|DEMOASSET|40|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|40|pocket1|100000.0;30
47;micro;|DEMOASSET|40|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|40|pocket2|100000.0;30
47;micro;|DEMOASSET|40|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|40|pocket3|100000.0;30
48;micro;|DEMOASSET|41|;"{""uuid"":""41"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|41|{""uuid"":""41"",""type"":""DemoAsset""}";46
48;micro;|DEMOASSET|41|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|41|pocket1|100000.0;30
48;micro;|DEMOASSET|41|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|41|pocket2|100000.0;30
48;micro;|DEMOASSET|41|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|41|pocket3|100000.0;30
49;micro;|DEMOASSET|42|;"{""uuid"":""42"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|42|{""uuid"":""42"",""type"":""DemoAsset""}";46
49;micro;|DEMOASSET|42|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|42|pocket1|100000.0;30
49;micro;|DEMOASSET|42|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|42|pocket2|100000.0;30
49;micro;|DEMOASSET|42|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|42|pocket3|100000.0;30
50;micro;|DEMOASSET|43|;"{""uuid"":""43"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|43|{""uuid"":""43"",""type"":""DemoAsset""}";46
50;micro;|DEMOASSET|43|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|43|pocket1|100000.0;30
50;micro;|DEMOASSET|43|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|43|pocket2|100000.0;30
50;micro;|DEMOASSET|43|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|43|pocket3|100000.0;30
51;micro;|DEMOASSET|44|;"{""uuid"":""44"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|44|{""uuid"":""44"",""type"":""DemoAsset""}";46
51;micro;|DEMOASSET|44|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|44|pocket1|100000.0;30
51;micro;|DEMOASSET|44|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|44|pocket2|100000.0;30
51;micro;|DEMOASSET|44|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|44|pocket3|100000.0;30
52;micro;|DEMOASSET|45|;"{""uuid"":""45"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|45|{""uuid"":""45"",""type"":""DemoAsset""}";46
52;micro;|DEMOASSET|45|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|45|pocket1|100000.0;30
52;micro;|DEMOASSET|45|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|45|pocket2|100000.0;30
52;micro;|DEMOASSET|45|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|45|pocket3|100000.0;30
53;micro;|DEMOASSET|46|;"{""uuid"":""46"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|46|{""uuid"":""46"",""type"":""DemoAsset""}";46
53;micro;|DEMOASSET|46|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|46|pocket1|100000.0;30
53;micro;|DEMOASSET|46|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|46|pocket2|100000.0;30
53;micro;|DEMOASSET|46|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|46|pocket3|100000.0;30
54;micro;|DEMOASSET|47|;"{""uuid"":""47"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|47|{""uuid"":""47"",""type"":""DemoAsset""}";46
54;micro;|DEMOASSET|47|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|47|pocket1|100000.0;30
54;micro;|DEMOASSET|47|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|47|pocket2|100000.0;30
54;micro;|DEMOASSET|47|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|47|pocket3|100000.0;30
55;micro;|DEMOASSET|48|;"{""uuid"":""48"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|48|{""uuid"":""48"",""type"":""DemoAsset""}";46
55;micro;|DEMOASSET|48|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|48|pocket1|100000.0;30
55;micro;|DEMOASSET|48|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|48|pocket2|100000.0;30
55;micro;|DEMOASSET|48|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|48|pocket3|100000.0;30
56;micro;|DEMOASSET|49|;"{""uuid"":""49"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|49|{""uuid"":""49"",""type"":""DemoAsset""}";46
56;micro;|DEMOASSET|49|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|49|pocket1|100000.0;30
56;micro;|DEMOASSET|49|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|49|pocket2|100000.0;30
56;micro;|DEMOASSET|49|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|49|pocket3|100000.0;30
57;micro;|DEMOASSET|50|;"{""uuid"":""50"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|50|{""uuid"":""50"",""type"":""DemoAsset""}";46
